bin,n,k,obs,pred,lo,hi,model
B1,3310,3,0.0009063444108761329,0.001111566722177501,0.00030828011353266913,0.002661566121724924,Boosting (calibrated)
B2,731,0,0.0,0.0016097022987518197,0.0,0.005227793309469686,Boosting (calibrated)
B3,1070,3,0.002803738317757009,0.002034251549696081,0.0009539549549624905,0.008210897663896754,Boosting (calibrated)
B4,2443,3,0.0012279983626688497,0.0028253649806426737,0.00041770862740313783,0.003604456109374265,Boosting (calibrated)
B5,192,1,0.005208333333333333,0.0031407474197042633,0.0009199674643243817,0.02890822021388086,Boosting (calibrated)
B6,1191,9,0.007556675062972292,0.003599469174558332,0.003980590143837225,0.014299322440391511,Boosting (calibrated)
B7,1243,6,0.004827031375703942,0.0076820090220662655,0.0022140628866138224,0.010491320058581461,Boosting (calibrated)
B8,1272,22,0.01729559748427673,0.01857950830992988,0.011449079137772229,0.026048992723186056,Boosting (calibrated)
B9,1270,66,0.05196850393700787,0.0490275417926805,0.041055671468048435,0.06558364695270341,Boosting (calibrated)
